name	rawTweet	date
fernandopamplona	"@airport_girl Guatemala
1 day ago
Acft arrested by army 
Was Used on narcotraffic
Fake registration"	Feb 08 2020
Kendrick Mellinger	"RT @USArmy: The Army Combat Fitness Test is here to better connect fitness with combat readiness for all Soldiers.

What are you doing to g…"	Feb 08 2020
ConsiderTheBees	@Brandontheblade @Cernovich Except we switched over to the ACFT, which doesn't have different standards for gender or age. So, no.	Feb 08 2020
MG Tammy Smith	ACFT leg tuck- still working on good form. (Happy #Caturday !) https://t.co/Jg6LD3Bqdx	Feb 08 2020
Robert P. Campbell	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 08 2020
J. Towns	RT @MG_SmithT: ACFT leg tuck- still working on good form. (Happy #Caturday !) https://t.co/Jg6LD3Bqdx	Feb 08 2020
Accidental E9	RT @MG_SmithT: ACFT leg tuck- still working on good form. (Happy #Caturday !) https://t.co/Jg6LD3Bqdx	Feb 08 2020
LOWI SPOTTER INFO	Special Visitor: Trade Air Date:2020-02-11 (18:45) Dep: () From: SCN Acft: F100 Remark: ferry https://t.co/AbGyCwJqnF	Feb 08 2020
Joel	RT @MG_SmithT: ACFT leg tuck- still working on good form. (Happy #Caturday !)	Feb 08 2020
[USELESS]	RT @MG_SmithT: ACFT leg tuck- still working on good form. (Happy #Caturday !)	Feb 08 2020
