name	rawTweet	date
Marlian Scott	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 16 2020
Marlian Scott	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 16 2020
Marlian Scott	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 16 2020
Marlian Scott	RT @USArmy: #ACFT testing equipment has arrived at Fort Stewart Hunter Army Airfield and the #Soldiers of @3rd_Infantry wasted no time gett…	Feb 16 2020
Marlian Scott	"RT @USArmy: How far can you throw a 10-pound medicine ball?

The standing power throw tests how far a #Soldier can throw a 10-pound medicin…"	Feb 16 2020
Andy Kauffman	RT @SgmTowns: ACFT tip: relax and just do your best.	Feb 16 2020
YPAD ATIS	INFO E. WND: 180/7. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST APCH. RWY 23. TMP: 20. VIS: GREATER THAN 1… https://t.co/7er8V5TYZR	Feb 16 2020
¯\_(ツ)_/¯	RT @AngryBlackbird_: ACFT Tip: Get trashed the night before just like the APFT. Power puke through every station.	Feb 16 2020
Jolight7⭐⭐⭐	RT @USArmyReserve: Training for the #ACFT has begun &amp; these #USArmyReserve Soldiers are taking a diagnostic test at each of their quarterly…	Feb 16 2020
Kyle Beck	Might fuck around and max out the ACFT 🤷‍♂️	Feb 16 2020
Alex Stackhouse	RT @AngryBlackbird_: ACFT Tip: Get trashed the night before just like the APFT. Power puke through every station.	Feb 16 2020
KemmLyte	Army friends / fitness friends!!! Tips on mastering leg tuck for the acft would be mucho appreciated...I’ve been wo… https://t.co/4l68euyfed	Feb 16 2020
YPAD ATIS	INFO G. TMP: 21. WND: 220/12. QNH: 1014. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST APCH. RWY 23. VIS: GR… https://t.co/VCaL3pGULJ	Feb 16 2020
GMlog via GeigerNT	RT @USArmyReserve: Training for the #ACFT has begun &amp; these #USArmyReserve Soldiers are taking a diagnostic test at each of their quarterly…	Feb 16 2020
