name	rawTweet	date
LOWI SPOTTER INFO	Special Visitor: Avanti Air Date: () Dep: 2020-02-08(10:35) To: PAD Acft: F100 Remark: ferry https://t.co/AbGyCwJqnF	Feb 07 2020
LOWI SPOTTER INFO	Special Visitor: Trade Air Date: () Dep: 2020-02-08(10:35) To: PAD Acft: F100 Remark: ferry https://t.co/AbGyCwJqnF	Feb 07 2020
Matthew Emerson	RT @PittStateROTC: We heard about this new fitness test thingy. Join us at Pitt State in @3rdROTCBrigade and see what it is like to be #ino…	Feb 07 2020
TRADOCViking	RT @TRADOC: For the past 40 years #Soldiers fitness was tested on a two-mile run &amp; how many push-ups &amp; sit-ups they could do in two minutes…	Feb 07 2020
Yup	I'm naturally a nervous person and I failed my last ACFT and the retake is either tomorrow, Saturday or Sunday...ho… https://t.co/tOwz9ZHQFu	Feb 07 2020
Gabe ⚾️	@BrennenMurpp I try to empower those I lead. As long as they can pass the ACFT.	Feb 07 2020
Dan Hogan	@15thSMA if you’re in the area of Fort Leonard Wood the last week of February I’ll be there taking the ACFT NCOIC C… https://t.co/2sjNdj01tF	Feb 07 2020
กองพลทหารราบที่ 3	⭐เมื่อ 6 ก.พ.63 กรมทหารราบที่ 13 และหน่วยรอง ชมการสาธิตการทดสอบสมรรถภาพร่างกายเพื่อความพร้อมรบ(Army Combat Fitness… https://t.co/pC7US3ckFj	Feb 07 2020
Emotional Support Drill	@AVSIllini @ChemicalFire Gotta change the way you’re looking at it. For some the ACFT will be an all day event. Don… https://t.co/Pgi0PIWuKF	Feb 07 2020
angelica	I already knowwww this acft is gonna kick my ass 🥴	Feb 07 2020
Scott Embrey	Army Combat Fitness Test https://t.co/YKsWBJkZHE	Feb 07 2020
Essopasto	RT @3_INFANTRY_DIV: ⭐เมื่อ 6 ก.พ.63 กรมทหารราบที่ 13 และหน่วยรอง ชมการสาธิตการทดสอบสมรรถภาพร่างกายเพื่อความพร้อมรบ(Army Combat Fitness Test…	Feb 07 2020
anti-CSM expert panel	@MamaNadii @terrancesavery Don’t listen to @terrancesavery you are a queen among women. He just gets salty sometime… https://t.co/oLBTuTEqBo	Feb 07 2020
Harper ⭐️⭐️⭐️	@JenniferJJacobs @nwadhams Hope the first thing Monday morning he’s ready to take the ACFT and step on a scale.	Feb 07 2020
THE GodfatheR♐️♍️♍️	I’m exhausted just looking at that new army combat fitness test they’re implementing. Godspeed to y’all	Feb 07 2020
Gift Wellness	#fitness MILITARY MATTERS: Equipment Arrives for New Army Combat Fitness Test - WTVM https://t.co/5v02oIc03y https://t.co/C3Zow8EG4n	Feb 07 2020
FORSCOM	#ArmyStrong💪@USArmy #FORSCOM Commanding General Gen. Michael Garrett joins #USArmy #Soldiers from 570th Sapper Comp… https://t.co/MnOjWVHpDp	Feb 07 2020
