name	rawTweet	date
Stefan Laurell	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
Anthony Jones	RT @OKGuard: #ICYMI: The OKGuard Show podcast jumped into the new year by discussing how the #OKGuard is implementing the Army Combat Fitne…	Jan 31 2020
Okla. National Guard	#ICYMI: The OKGuard Show podcast jumped into the new year by discussing how the #OKGuard is implementing the Army C… https://t.co/l1vNU1K1Fj	Jan 31 2020
Luisツ	RT @MANationalGuard: The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks req…	Jan 31 2020
John Minehan	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
Modern War Institute	Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1zoiT	Jan 31 2020
BharatPatriot🇮🇳🇩🇪🇺🇸🇮🇱🇪🇺	RT @MANationalGuard: The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks req…	Jan 31 2020
Get2aktive	Outdoor Men's Black Tactical Shoes Sports Hiking Shoes Desert Training Shoes Army Combat Men Military Walk Camping… https://t.co/vS3wJsPJME	Jan 31 2020
Rudy Tutti	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
MA National Guard RRB	The 2nd event of the Army Combat Fitness Test (ACFT) is the Standing Power Throw. This evaluation represents tasks… https://t.co/WhvKYmfICJ	Jan 31 2020
Walker, the Ceaseless Hunger	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
scott allen	RT @sfa_rotc: Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind #sfasu https…	Jan 31 2020
Abreu	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
SFA Army ROTC	Prepping for the Army Combat Fitness Test! #functionalfitness #sprintdragcarry #armypt #stronginbodystronginmind… https://t.co/TaECgYhVB3	Jan 31 2020
Motivational Quotes	RT @ISURedbirdsROTC: 🔴⚫️⚪️This week, the Redbird Battalion participated in the Army Combat Fitness Test (ACFT). It consists of 6 different…	Jan 31 2020
ISU Redbirds ROTC	🔴⚫️⚪️This week, the Redbird Battalion participated in the Army Combat Fitness Test (ACFT). It consists of 6 differe… https://t.co/3OKmyKiYKi	Jan 31 2020
Modern War Institute	A recent MWI article highlighted a serious problem: the Army routinely deploys its soldiers when they are not at th… https://t.co/7TZ2qKRfh1	Jan 31 2020
Christopher Johnson	@thedogman_918 @LushCop Join the club the new army fitness test both combat and endurance is laughable	Jan 31 2020
Modern War Institute	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Jan 31 2020
𝚂𝚞𝚛𝚟𝚎𝚒𝚕𝚕𝚊𝚗𝚌𝚎 𝚂𝚝𝚊𝚝𝚎 𝚁𝚎𝚙𝚘𝚛𝚝	#CommentaryAnalysis The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force… https://t.co/NmOXeHRtmi	Jan 31 2020
Michael Berard	RT @WarInstitute: Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a problem tha…	Jan 31 2020
Boom Boom	"RT @3_INFANTRY_DIV: ACFT เริ่มแล้ว ❗️❗️
การทดสอบร่างกายรูปแบบใหม่ของ ทบ.สหรัฐ Army Combat Fitness Test 💂‍♀️🇹🇭

📌พัฒนาขีดความสามารถกำลังพลกอ…"	Jan 31 2020
Modern War Institute	Army units' pursuit of tactical readiness too often comes at the cost of soldiers' physical fitness. That's a probl… https://t.co/SaXn96b7rQ	Jan 31 2020
William Owen Hannah	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
Terin Doller	"RT @3_INFANTRY_DIV: ACFT เริ่มแล้ว ❗️❗️
การทดสอบร่างกายรูปแบบใหม่ของ ทบ.สหรัฐ Army Combat Fitness Test 💂‍♀️🇹🇭

📌พัฒนาขีดความสามารถกำลังพลกอ…"	Jan 31 2020
Jeanna Sims	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
Phillip Edgar	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Jan 31 2020
YMML ATIS	INFO P. RAPID EXIT TAXIWAY FOXTROT CLOSED.ALL DEPS MUST REQUEST PUSH BACK ON MELBOURNE DELIVERY 127.2. SURVEY ACFT… https://t.co/KViofAebW5	Jan 31 2020
yscbatis	INFO E. SIGWX: EXP TURB OVER RWY 35, S OF RWY INT. TMP: 38. WIND: 300/15. XW 12 KTS RWY 35. QNH: 1013. JET ACFT EXP… https://t.co/VSifYXezsN	Jan 31 2020
YMML ATIS	INFO O. EXP GLS OR RNAV APCH. RWY 34. RAPID EXIT TAXIWAY FOXTROT CLOSED.ALL DEPS MUST REQUEST PUSH BACK ON MELBOURN… https://t.co/aSPTnaUXnw	Jan 31 2020
LOWI SPOTTER INFO	Special Visitor: Alba Star Date: () Dep: 2020-02-01(16:40) To: MAN Acft: B738 https://t.co/AbGyCwJqnF	Jan 31 2020
Dostrich	@SGMtheMan1 Is this offer valid for the ACFT? Asking for a friend.	Jan 31 2020
Lil Frank 🍭💛	I ain’t gone lie to y’all. Tht ACFT no joke.	Jan 31 2020
yscbatis	INFO D. JET ACFT EXP ILS APCH. START UP APPROVAL RQ FOR TRAINING ACFT. TMP: 37. WIND: 330/18. XW 8 KTS RWY 35. XW 1… https://t.co/gBefttpBZt	Jan 31 2020
Cloclo	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
TheStorm	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
GMlog via GeigerNT	RT @525EMIB: Do you get enough rest? It could make the difference in your #ACFT performance. Check out the latest video in our series, wher…	Jan 31 2020
T R E Y ⚡️ 3 K	i’m still sore from that ACFT earlier 😭	Jan 31 2020
Stella Anderson	RT @USArmy: The #ACFT will be the largest overhaul in assessing a Soldier's physical fitness in 40 years, and it's just one part of a new h…	Jan 31 2020
Sooner88nj	RT @ArmyROTC: It’s #FitnessFriday once again! Get out there and get training for #ACFT 💪🔥	Jan 31 2020
Phil Blaisdell	@CL_V_CSM We have them. They’re just hidden. Shafter flats is the best place to conduct the ACFT.	Jan 31 2020
L Carter	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
YMML ATIS	INFO X. LAHSO IN PROGRESS.RAPID EXIT TAXIWAY FOXTROT CLOSED.FROM TIME 2120, ACFT DEPARTING TO THE NORTH EAST EXPECT… https://t.co/zT2Ey4LtiV	Jan 31 2020
Jennifer Shoats	A good day and a bit of a sad day. Gave out a coin to SFC Rozwalka for going above and beyond lately on the ACFT ce… https://t.co/BJE74VVx9U	Jan 31 2020
Tanker Whisperer	RT @RedKnightHQ66: Red Knight 7, Chaos and Outlaw Companies teamed up to assist our wartime partners, 98th Training Div, with the ACFT for…	Jan 31 2020
The Unqualified Expert	@ArmyStrang @bayouwilson As tanks have been underperforming, under the new ACFT (Army Combat Frakking Tank) program… https://t.co/GuOYVBaQTi	Jan 31 2020
Eslteach1	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
Pamela McNeff Smith	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
Annex E (Personnel)	ACFT should be back squat and not dead lift. If you’re not doing Oly, there’s no reason for DL.	Jan 31 2020
Christopher Ramírez,🇺🇸🇪🇦🇵🇷 #Conservative⛪	RT @ArmyROTC: It’s #FitnessFriday once again! Get out there and get training for #ACFT 💪🔥	Jan 31 2020
Sean	@bby_kays I can't handle the clap backs, plus my old ass just got hurt trying to work towards the ACFT so honestly I'm in no position	Jan 31 2020
Todd P. Bruggeman	RT @101stAASLTDIV: New test, new equipment. #ACFT https://t.co/Gdgd8Oaif4	Jan 31 2020
Wide Awake 🇺🇸🇨🇭🇩🇪 QArmy Swiss Division	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
DurhamIsComing⭐️⭐️⭐️	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
Arkhan Van Hellsing	@norffieId Today at my gym I monopolized over 25 meters of space because I wanted to see how hard the ACFT's SDC ev… https://t.co/sztPD1k79o	Jan 31 2020
Blackpill	@martial_mortal @fedagent8 Yet the Army uses SI units and scientific methodology for acft, tactics, outfitting. Curious	Jan 31 2020
Section 21 S21/MI21	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Jan 31 2020
Mike Powell	"ACFT in mid 30’s weather...

0/5 recommended 🙃"	Jan 31 2020
Theresa Gonzalez	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Jan 31 2020
FirebaseSamadhi	@Bruno062418 Looks like everyone on board that acft are going for a swim. LoL	Jan 31 2020
Daniel Witt	@Newie129 @TRADOC My bad. I meant to say that everything with the ACFT rollout is going smooth. As expected.	Jan 31 2020
Wanda Davidson	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
Michael Crespo	RT @101stAASLTDIV: New test, new equipment. #ACFT https://t.co/Gdgd8Oaif4	Jan 31 2020
Andy Morgado	RT @TradocDCG: Great video by @FortBenning @ArmorSchool on why we are adopting #ACFT &amp; purpose of each event.  @TRADOC @PaulFunk2 #WinningM…	Jan 31 2020
Icee	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
Rebelyn ⭐️⭐️⭐️	RT @mil_ops: Some days you fire up the overwatch board and your jaw drops. today is one of those days: 23 H60 Blackhawks, 8 EC45’s, 2 AWACs…	Jan 31 2020
New New	@DRob_Conductor @TRADOC The ACFT is a perfect example of starting MDMP with step 6, then filling in the other steps… https://t.co/PSCAs68DCp	Jan 31 2020
TRADOC_DCG	Great video by @FortBenning @ArmorSchool on why we are adopting #ACFT &amp; purpose of each event.  @TRADOC @PaulFunk2… https://t.co/Vxc6rko0Hi	Jan 31 2020
