name	rawTweet	date
hostile JAGuar 🐆	"@HauptmannHansa NO ONE THATS WHO 

there's actually a Facebook group for army women devoted to training for and con… https://t.co/T0hUXZSCKr"	Feb 12 2020
Lizz	This new ACFT is gonna kick my fucking asssss😂😭	Feb 12 2020
J Burns	RT @GeneralMXG: Ran to a group of motivated Soldiers at the NTC “Box” gym getting after ACFT leg tucks. Their hard work is definitely payin…	Feb 12 2020
Doobiest Brother	"RT @1BCT10MTN: Take on the week!

1-32 Infantry, Chosin Soldiers recently took on the #ACFT, with many improving their individual scores ov…"	Feb 12 2020
John Niro⚓	@MicheleHaliwel @DanRuf2 18-21 minutes for the army is what I read. 16.09 for a 1.5 run for the Navy it's about the… https://t.co/4J3IJWMNT1	Feb 12 2020
TRADOC_זרוע היבשה	⁦@TradocAussie⁩ and ⁦@TRADOCViking⁩ training for the ACFT. Strong FLOs! 💪🏼💪🏼💪🏼 https://t.co/y7NRhsLNuF	Feb 12 2020
YPAD ATIS	INFO A. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST APCH. RWY 23 &amp; 12 FOR ARR. RWY 23 FOR DEP. TMP: 24. VI… https://t.co/jmpaw1smEl	Feb 12 2020
Emotional Support Drill	I cant believe I had to have a conversation about whether we go by the BCT POI for the ACFT or the actual IOC.	Feb 12 2020
Fort Irwin NTC	RT @GeneralMXG: Ran to a group of motivated Soldiers at the NTC “Box” gym getting after ACFT leg tucks. Their hard work is definitely payin…	Feb 12 2020
Rodney Crenshaw	RT @GeneralMXG: Ran to a group of motivated Soldiers at the NTC “Box” gym getting after ACFT leg tucks. Their hard work is definitely payin…	Feb 12 2020
Chris P.	If I don’t have this ACFT Thursday I may fast til Friday.	Feb 12 2020
Doug Smith 🇺🇸	@TBillsen Gettin ready for that civil affairs selection kiddo. Also the new ACFT is ez money, but definitely a smoker	Feb 12 2020
Patricia Martin	"RT @USArmy: The #ACFT stressing you out? 

@USAPHC has tips to ""train smart:""

✅ Gradually increase the challenge to your body over time
✅…"	Feb 12 2020
STORM	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 12 2020
fadila nurhusna	RT @usarec: Strongman/Titan Face Off: SSG Burgholzer, @strongmancorp competitor &amp; Army Fitness Team Member, and @cwatts13, former @nbctitan…	Feb 12 2020
YPAD ATIS	INFO B. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST. WND: 150/10. MAX XW 13 BOTH RUNWAYS. CLD: FEW020 BKN0… https://t.co/69g7nHQDmV	Feb 12 2020
Mariah 👁	for anyone preparing for ACFT- do farmer carries using a towel to hold the weights. This helps your grip strength f… https://t.co/hbYGdAryh4	Feb 12 2020
Aslan Meldon	RT @USArmyReserve: Multiple locations across the 81st Readiness Division’s footprint received the initial fielding of the new #ACFT equipme…	Feb 12 2020
LOWI SPOTTER INFO	Special visitor today:SAS arr: 12:10 from: OSL acft: B737	Feb 12 2020
YPAD ATIS	INFO D. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST APCH. CLD: FEW020. RWY 23 &amp; 12 FOR ARR. RWY 23 FOR DEP… https://t.co/DZRQtcZzn8	Feb 12 2020
U.S. Army School of Music	RT @USAREURBand: #StrongEurope Last week, ten Soldiers from The USAREUR Band &amp; Chorus participated in the Army Combat Fitness Test and succ…	Feb 12 2020
Autogig International Resources Ltd.	The Autogig Certified Foundation Technician (ACFT) training kicks off on the 24th of this month and will run for 9… https://t.co/feqNAB3VX6	Feb 12 2020
FitFixNow	"FitFixNow is offering a CEU course Ace the Army Combat Fitness Test (ACFT)

https://t.co/r71VaPdTN1

 #CEC #CEU… https://t.co/4jj6EMAMvj"	Feb 12 2020
B	Não é questão de “ir com a sua cara” p bloquear fileiras em uma aeronave depende de muitas variáveis, como quantida… https://t.co/p3hsgt6j2L	Feb 12 2020
Tami Crader	RT @neptune_njrotc: Thank you to SSG Guzman and @NJNationalGuard for hosting physical training today where our Cadets participated in the n…	Feb 12 2020
Kiahhn'	Some of these Soldiers didn’t think the ACFT would come to fruition. Now diagnostic and record dates are being rele… https://t.co/MMcliLRQef	Feb 12 2020
Rebelyn ⭐️⭐️⭐️	RT @mil_ops: PRISON WATCH SITREP:  this one popped onto the board for Cano on the 6th. Always curious when I see a USAF acft operation as a…	Feb 12 2020
Tishawn	Even with a fever I still managed to to pass the new ACFT with flying colors.	Feb 12 2020
peaches	bruh i took preworkout before the acft and i’m itching so bad 😫 https://t.co/rTpkmF9iNB	Feb 12 2020
Tishawn	@angelarchetype https://t.co/5Ots627PEb	Feb 12 2020
Patricia Martin	"RT @USArmy: The #ACFT stressing you out? 

@USAPHC has tips to ""train smart:""

✅ Gradually increase the challenge to your body over time
✅…"	Feb 12 2020
A N D R E W	New ACFT ✅	Feb 12 2020
🇵🇭 Crystalyn 🇵🇷	@crazylocaa__ Ima just stay in until the army kicks me out if I can’t pass this ACFT 🤷🏻‍♀️	Feb 12 2020
Patricia Martin	"RT @USArmy: The #ACFT stressing you out? 

@USAPHC has tips to ""train smart:""

✅ Gradually increase the challenge to your body over time
✅…"	Feb 12 2020
そえしま	めーちゃん兄さんのモジュールに変えてみた。ACFTは兄さんの髪の毛、影部分との落差があんまりなくてのっぺりしてたから、アニメ調の方がいいかもしれない。めーちゃんは逆にACFTの方がいいかも(^^; 髪の毛のハイライトが良いときと悪いときある。	Feb 12 2020
LTGCharlesLuckey	Download the Double Eagle app, and get smart on everything you need to know to prep yourself and your Soldiers for… https://t.co/wSfqRBLaWZ	Feb 12 2020
olivia 🌻	acft delayed for another year boyzzzz 😂	Feb 12 2020
Que Te Importa 🤟🏽	The ACFT kicked my ass this morning 🙃 sore as hell	Feb 12 2020
