name	rawTweet	date
John Minehan	RT @WarInstitute: A recent MWI article highlighted a serious problem: the Army routinely deploys its soldiers when they are not at their pe…	Feb 05 2020
Michael Berard	RT @WarInstitute: A recent MWI article highlighted a serious problem: the Army routinely deploys its soldiers when they are not at their pe…	Feb 05 2020
yscbatis	INFO F. TMP: 24. VIS: REDUCING TO 8 KM IN FU. QNH: 1020. JET ACFT EXP ILS APCH. RWY 35 &amp; RWY 30 FOR ARRS &amp; DEPS. ST… https://t.co/TdCFsmsExC	Feb 05 2020
Emotional Support Drill	@TheTrueJFK Can I use this as Exhibit A when I present the case on why so many soldiers were not prepared for the A… https://t.co/jAzFbdgxPg	Feb 05 2020
🥀	@JohnLJames The ACFT I'm fine with. So we're the soldiers in my old units. It's the BLC part of showing I know all… https://t.co/m5UwrFknNL	Feb 05 2020
LOWI SPOTTER INFO	Special Visitor: Austrian Airlines Date: () Dep: 2020-02-08(15:40) To: VIE Acft: A319 Remark: ferry https://t.co/AbGyCwJqnF	Feb 05 2020
Julie Mallen is Julia akaCitizenSoldierJulieMallen	"RT @USArmy: This year, the #USArmy worked hard to make sure every #Soldier stays #ArmyFit.

From the #ACFT to some more...unconventional ac…"	Feb 05 2020
yscbatis	INFO G. TMP: 27. VIS: REDUCING TO 6 KM IN FU. QNH: 1019. JET ACFT EXP ILS APCH. RWY 35 &amp; RWY 30 FOR ARRS &amp; DEPS. ST… https://t.co/k9RhZWX6Rk	Feb 05 2020
Rockson Season	"RT @VCSA37: Vice Chief TV - The ACFT!
These guys are helping to institute a major change in the Army's physical fitness &amp; culture. On Frida…"	Feb 05 2020
🇺🇸 Rebekah Retired USAF⭐⭐⭐🗽	@sludgediva Still working ACFT. Retired 4 July 2001. Hard to believe it's been that long☺	Feb 05 2020
Doc Whiskey	"That’s it that’s it Show the MF-ing “Pinks and Greens” again and I’m gonna vomit them ugly ass uniforms. 

Please p… https://t.co/FCyybjeQ25"	Feb 05 2020
Eric 🥃	Charles McGee is 100 and looks better than all of miltwitter officers crying about the ACFT. #SOTU	Feb 05 2020
Advisory Circular SF	N776RV, a 1998 Quirk K M/Caubet J Vans Acft RV6, is circling over South Of Market, San Francisco at 1700 feet, spee… https://t.co/nx9iolvYB2	Feb 05 2020
ぷだふと	"ケリ姫とコラボしてるなんて知らなかった…可愛い…やりたい…
時間がなあああい！！！"	Feb 05 2020
Wally Schmidt	Getting that work in! #legday #deadlift #deadserious #ironparadise #irongrip #hex #acft #prepwork #healthyliving… https://t.co/ViAltwAc7s	Feb 05 2020
yscbatis	INFO H. TMP: 28. QNH: 1018. JET ACFT EXP ILS APCH. RWY 35 &amp; RWY 30 FOR ARRS &amp; DEPS. START UP APPROVAL RQ FOR ALL TR… https://t.co/IBoWJQ0E4D	Feb 05 2020
yscbatis	INFO I. RWY 35. QNH: 1017. JET ACFT EXP ILS APCH. START UP APPROVAL RQ FOR ALL TRAINING ACFT. TMP: 28. VIS: REDUCIN… https://t.co/vE6M2OSrvQ	Feb 05 2020
Panel of Expert SGMs of Excellence	@GrizzledBastard @realHeathSmith Because that’s why we do PRT to time instead of focusing on a workout.... because… https://t.co/uWaDA0kroi	Feb 05 2020
yscbatis	INFO J. EXP ILS APCH. HIAL &amp; HIRL ON. START UP APPROVAL RQ FOR ALL TRAINING ACFT. VIS: REDUCING TO 5000M IN FU. RWY… https://t.co/oT0CNKZGjJ	Feb 05 2020
yscbatis	INFO K. VIS: REDUCING TO 4000M IN FU. QNH: 1016. EXP ILS APCH. RWY 35. HIAL &amp; HIRL ON. START UP APPROVAL RQ FOR ALL… https://t.co/HkTeyc7NDQ	Feb 05 2020
Lorraine C. Smith	"RT @12_engineers: SGM Stollings from 11th TTSB, @forthood scored a perfect 600 on the #ACFT. Great job brother. 

@TrainingFor600 @usasmacl…"	Feb 05 2020
Frank 05Benedict	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 05 2020
Frank 05Benedict	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 05 2020
Frank 05Benedict	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 05 2020
yscbatis	INFO L. WIND: 080/10, ALL XW. OCNL TW 3KTS. EXP ILS APCH. RWY 35. HIAL &amp; HIRL ON. START UP APPROVAL RQ FOR ALL TRAI… https://t.co/sjZPlzyeR5	Feb 05 2020
The brush	"RT @Turweston_Tower: B) FROM: 20/02/04 09:30C) TO: 20/02/07 16:30
E) AERIAL SURVEY FROM PA31 ACFT WI 5NM RADIUS 
(HELMDON, NORTHAMPTONSHIRE…"	Feb 05 2020
yscbatis	INFO O. TMP: 24. VIS: REDUCING TO 8KM IN FU. WIND: 080/20, ALL XW. OCNL TW 3KTS. EXP INSTRUMENT APCH. RWY 35. START… https://t.co/wdhHJ4RH30	Feb 05 2020
Donald Peter	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 05 2020
martha cain	RT @ArmyTeamMobile1: Montgomery Recruiting BN Command Teams getting after some ACFT preparation training followed by 2 mile run. @Montgomer…	Feb 05 2020
Donald Peter	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 05 2020
Donald Peter	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 05 2020
Donald Peter	"RT @USArmy: How far can you throw a 10-pound medicine ball?

The standing power throw tests how far a #Soldier can throw a 10-pound medicin…"	Feb 05 2020
Turweston Tower AKA Chris Brown	"This is still to happen 👀
E) AERIAL SURVEY FROM PA31 ACFT WI 5NM RADIUS 
(HELMDON, NORTHAMPTONSHIRE). ACFT WILL OPE… https://t.co/z67SNI3jdI"	Feb 05 2020
The brush	"RT @Turweston_Tower: This is still to happen 👀
E) AERIAL SURVEY FROM PA31 ACFT WI 5NM RADIUS 
(HELMDON, NORTHAMPTONSHIRE). ACFT WILL OPERAT…"	Feb 05 2020
Donald Peter	RT @USArmy: #ACFT testing equipment has arrived at Fort Stewart Hunter Army Airfield and the #Soldiers of @3rd_Infantry wasted no time gett…	Feb 05 2020
LOWI SPOTTER INFO	Special Visitor: Austrian Airlines Date: () Dep: 2020-02-05(11:00) To: VIE Acft: E195 Remark: ferry https://t.co/AbGyCwJqnF	Feb 05 2020
ぷだふと	RT @xxxxxsaki: #RTで私を有名にしてください https://t.co/fSmZbuQatM	Feb 05 2020
ぷだふと	"RT @noboru_e: 僕だって信じたくないですよ。
今月22日で『白い雪のプリンセスは』を投稿してから10年が経つだなんて…。
・niconico
https://t.co/QnSddruzse
・YouTube
https://t.co/QtYCCg1SCe https…"	Feb 05 2020
Martin Alexandder	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 05 2020
Chinn Wang	RT @USArmy: #ACFT testing equipment has arrived at Fort Stewart Hunter Army Airfield and the #Soldiers of @3rd_Infantry wasted no time gett…	Feb 05 2020
Chinn Wang	"RT @USArmy: How far can you throw a 10-pound medicine ball?

The standing power throw tests how far a #Soldier can throw a 10-pound medicin…"	Feb 05 2020
Your Father's Moustache	@miketheredleg Sounds like that ACFT is definitely changing the way we do unit PT.	Feb 05 2020
Military Matters Podcast	@evo_kositz I think you'll like our latest episode of our podcast, it's all about the changing fitness tests in the… https://t.co/2mvYCDNl5D	Feb 05 2020
Military Matters Podcast	@evo_kositz I think you'll like our latest episode of our podcast, it's all about the changing fitness tests in the… https://t.co/Rp3LvLGnGD	Feb 05 2020
Military Matters Podcast	@16thSma @15thSMA @AUSAorg We're just discovering the Soldier Today podcast! Great job! I think you'll like our lat… https://t.co/mUKDmebcle	Feb 05 2020
Military Matters Podcast	@USArmy @WestPointBand @theusarmyband How did we miss Army Band fitness! Now I realize our episode on military fitn… https://t.co/KiONBWRZrD	Feb 05 2020
Mountain Six	1-32 CDR burning it down on the ACFT deadlift this morning with 340lbs. Leaders with the led. CTG. https://t.co/Z0PNyVdraS	Feb 05 2020
