name	rawTweet	date
絆 ALL JAPAN 🇯🇵 日本一心	RT @USArmyReserve: The #USArmyReserve’s 81st Readiness Division received more #ACFT equipment today! https://t.co/dXSqHwJB3b	Feb 06 2020
آمحمد آسعود آل آسعود 🇸🇦🇺🇸👨‍👩‍👧‍👦+🎄🐪👆🌍	"RT @25thID: Training for the ACFT like...

#WorkoutWednesday #TropicLightning #AmericasPacificDivision https://t.co/6AYVugWxaq"	Feb 06 2020
吉田貴博	RT @USArmyReserve: The #USArmyReserve’s 81st Readiness Division received more #ACFT equipment today! https://t.co/dXSqHwJB3b	Feb 06 2020
Manny Dantés	@naysayer72 @Cochrane18003 @bronzeagemantis They’re smol and weak. The ACFT would humble them	Feb 06 2020
yscbatis	INFO H. TMP: 23. CLD: SCT020, BKN025. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING ACFT. WX: FU HZ.… https://t.co/3aWydvcuxC	Feb 06 2020
Will🏴	So after much progress in the gym this past month, I was told by my DS that I’m overweight for my age and I’m just… https://t.co/ZEIlJlZFKq	Feb 06 2020
Erich Reimer	Nothing like the privilege of a 4 a.m. wake up tomorrow to try out a full go-through of the new ACFT (Army Combat F… https://t.co/6hqrNEjAAN	Feb 06 2020
yscbatis	INFO I. VIS: GT 10 KM. CLD: FEW022, BKN030. QNH: 1023. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING… https://t.co/KXjGGmoToE	Feb 06 2020
Benson Hamlett	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 06 2020
Shanthyer	RT @ErichReimer: Nothing like the privilege of a 4 a.m. wake up tomorrow to try out a full go-through of the new ACFT (Army Combat Fitness…	Feb 06 2020
Modern War Institute	Army training too often trades physical fitness for tactical readiness. Here's what leaders at all levels can do to… https://t.co/LRx9XCmghB	Feb 06 2020
PRINCE HALL FAM OES	RT @USArmy: #ACFT testing equipment has arrived at Fort Stewart Hunter Army Airfield and the #Soldiers of @3rd_Infantry wasted no time gett…	Feb 06 2020
yscbatis	INFO J. TMP: 25. CLD: FEW030. SCT040. QNH: 1022. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING ACFT.… https://t.co/G9RQPDSjKJ	Feb 06 2020
SonOfMogh	Today I asked a GO if the raw ACFT score would be used to determine promotion points or OML and how that would affe… https://t.co/p8NpxcEGGv	Feb 06 2020
Lex🕸	That Acft? Ain’t no joke lols my back stays hurting	Feb 06 2020
Mike 'Readiness' Black	@PaperMissiles @richganske Something I've learned in 18 months of being intimately close to the B-52 SPO, WST, and… https://t.co/l8ZPFWeVZZ	Feb 06 2020
livvie🤍	I would just like you all to know that my “mock” acft went fine aside from the leg tuck. And we didn’t do the run b… https://t.co/SHNC2PW100	Feb 06 2020
🇺🇸 Charlote 🇺🇸	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 06 2020
yscbatis	INFO K. TMP: 22. WIND: 050/18 ALL XW. CLD: SCT045. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING ACFT… https://t.co/hAW6LfNXnf	Feb 06 2020
New School CSM	@CsmBlaisdell @broadcastmike @GrizzledBastard @PanelExpertSGMs I welcome any of you to come do PT with this well be… https://t.co/aZRhMlFyNA	Feb 06 2020
full2thin	New post (How To Pass The Army&amp;#39;s Combat Fitness Test (HBO)) has been published on Full2thin -… https://t.co/NDGAuLG1at	Feb 06 2020
yscbatis	INFO L. TMP: 20. WIND: 050/12 ALL XW. QNH: 1023. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING ACFT.… https://t.co/Ag1dOHmZSy	Feb 06 2020
Bocephus	The acft is going to ruin some careers	Feb 06 2020
yscbatis	INFO M. TMP: 19. QNH: 1024. EXP ILS APCH. RWY 35. START UP APPROVAL RQ FOR ALL TRAINING ACFT. VIS: GT 10 KM. WIND:… https://t.co/lZzY9t711E	Feb 06 2020
Gibby	Honestly can’t wait for the ACFT. Finally my pt score will be higher than those fucks that can run fast.	Feb 06 2020
The Briefing Room	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness https://t.co/OaC38IdkEZ	Feb 06 2020
The Briefing Room	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/m8xixKbI8o	Feb 06 2020
Uttaran Hazarika	RT @USArmyReserve: The #USArmyReserve’s 81st Readiness Division received more #ACFT equipment today! https://t.co/dXSqHwJB3b	Feb 06 2020
Karl 🤙🤑	The ACFT is brutal as hell🥵	Feb 06 2020
🇺🇸Sonja ⭐⭐⭐🇺🇸	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 06 2020
Rod Rodriguez	"Military Fitness 2.0!

What is the @USArmy #ACFT about? How is the @USMC stopping PT injuries? Can the @USNavy reva… https://t.co/ZYB4IhOYYa"	Feb 06 2020
