name	rawTweet	date
YPAD ATIS	INFO U. QNH: 1019. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST. RWY 23 &amp; 12 FOR ARR. RWY 23 FOR DEP. TMP:… https://t.co/8Skt1MXqzE	Feb 03 2020
ぷだふと	"RT @mikucolle: 🌈『レインボーラッシュガチャ第一弾』登場🌈
イベント特効付カードが登場するガチャ開催☆
一弾ではイラストレーター「tokki」さん描き下ろし「雪舞う森の音楽隊[SSR+]」が登場！1回限定の無料10連ガチャも同時開催中です♪
【開催期間】2/10(…"	Feb 03 2020
ぷだふと	ﾋｭｯ https://t.co/iaqpli5M4Y	Feb 03 2020
yscbatis	INFO J. HIAL &amp; HIRL ON. START UP APPROVAL RQ FOR ALL TRAINING ACFT. TMP: 23. VIS: REDUCING TO 5000 M IN FU. QNH: 10… https://t.co/2ivbBeS4b1	Feb 03 2020
ぷだふと	10連無料！特攻皆に配るとか優し過ぎる… https://t.co/0luER4zYBA	Feb 03 2020
ぷだふと	ちょっと！！今回ミクちゃん以外ケモ耳じゃないですか！！最高ですか！！ https://t.co/FtVgAwU3sM	Feb 03 2020
ぷだふと	"RT @yasuvn21: チケット譲ります。

2/10 札幌市民ホールのまらしぃさんライブのチケット1枚。
6000円でお譲りします。

条件は2/3〜2/6の夜7時頃、東京都内の山手線付近の駅で手渡し出来る方。

ご希望の方いらっしゃいましたらリプ下さい。"	Feb 03 2020
ROMEO MARSH	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 03 2020
ROMEO MARSH	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 03 2020
ForensicPsyMD	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force - Modern War Institute https://t.co/yOkswIeg5D	Feb 03 2020
ForensicPsyMD	The Army Has a Physical Fitness Problem, Part 1: Eight Myths that Weaken Combat Readiness - Modern War Institute https://t.co/NKotz5csvO	Feb 03 2020
Modern War Institute	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Feb 03 2020
Gene Ziemba	@TrevClark1958 LAPES was a very dangerous mission and a special qual for crew members. If memory serves it was cond… https://t.co/KGArt8zLDB	Feb 03 2020
春木 岡崎	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 03 2020
春木 岡崎	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 03 2020
Michael Berard	RT @WarInstitute: The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Feb 03 2020
joel blaxland	RT @WarInstitute: The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force https://t.co/sEnNK1zoiT	Feb 03 2020
oneteamwinwin	ACFT! https://t.co/rx8XwlP7do	Feb 03 2020
U.S. Army TACOM	"RT @ArmyMateriel: Have you downloaded the new #ACFT app?
The Army PRT app is a free smartphone training tool that includes a collection of…"	Feb 03 2020
Brian Filipowski	"Much better time on the Alternate ACFT Challenge. Goal will be sub 20 minute👊
9.39mile bike
#postworkout… https://t.co/UHnh8SXQLq"	Feb 03 2020
Michael A. Grinston	My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality… https://t.co/B6zSJES55M	Feb 03 2020
Eslteach1	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Army Contracting	"RT @ArmyMateriel: Have you downloaded the new #ACFT app?
The Army PRT app is a free smartphone training tool that includes a collection of…"	Feb 03 2020
Army Ten-Miler	"RT @USMuslimSoldier: #SaturdayMotivation
I’ve lost 5 pounds, upped my push-up game for the new @USArmy #acft AND ran @ArmyTenMilerATM 🇺🇸

W…"	Feb 03 2020
Cathrine Schmid	JLo is 50 years old and climbed that pole like it was nothing and I’m over here worried about ONE leg tuck for the ACFT	Feb 03 2020
GEN James C. McConville	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
Martin Alexander	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 03 2020
1st Theater Sustainment Command	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
MARINE RADIO	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
Ginger Swift	RT @SchmidCathrine: JLo is 50 years old and climbed that pole like it was nothing and I’m over here worried about ONE leg tuck for the ACFT	Feb 03 2020
SSG Moon Moon	RT @SchmidCathrine: JLo is 50 years old and climbed that pole like it was nothing and I’m over here worried about ONE leg tuck for the ACFT	Feb 03 2020
Chinn Wang	RT @USArmy: The Ceremonial Percussion section of The United States Army Band was inspired by the @WestPointBand Hellcat's #ArmyFit video!…	Feb 03 2020
2LT Floridaman-McShortshorts	@stillMurphee Make that PT plan interesting, they said. #ACFT	Feb 03 2020
Read Kraus	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
Modern War Institute	A recent MWI article highlighted a serious problem: the Army routinely deploys its soldiers when they are not at th… https://t.co/wt5AoZ7R8j	Feb 03 2020
Kyle Eustis	@TulsiGabbard Running is the worst part about the PT.... however the ACFT is about to ruin some lives. More people… https://t.co/bzKRu45jEA	Feb 03 2020
Cheryl Thomas	RT @OKGuard: #ICYMI: The OKGuard Show podcast jumped into the new year by discussing how the #OKGuard is implementing the Army Combat Fitne…	Feb 03 2020
Sam🦋	So motivated to get my upper body stronger. I need to pick up these heavy ass legs during the ACFT 👏🏼	Feb 03 2020
Kaya72	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Michael Crespo	"RT @12_engineers: SGM Stollings from 11th TTSB, @forthood scored a perfect 600 on the #ACFT. Great job brother. 

@TrainingFor600 @usasmacl…"	Feb 03 2020
Michael Crespo	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
IEMBot ZLA	Urgent pilot report at 1740Z: SBA UUA /OV RZS/TM 1740/FL070/TP SR22/RM STRON DDFS. ACFT UNABLE TO MAINTAIN ALT. COR MSG TYPE. ZLA CWSU	Feb 03 2020
7thInfantryDivision	RT @1SBCT_Ghost: Setting the Standard.                         Ghost Soldiers assigned to 5th Battalion, 20th Infantry Regiment have met th…	Feb 03 2020
Barbarroja, el Aeronauta ✈️	@JorgeRocaRo @IsraeltheMann Ha escuchado campanas pero no sabe bien donde, caballero!!! Mi avión actual, tiene un p… https://t.co/NzKJa8KlXq	Feb 03 2020
yscbatis	INFO A. EXP INSTRUMENT APCH. RWY 17. START UP APPROVAL RQ FOR ALL TRAINING ACFT. TMP: 8. VIS: REDUCING TO 8 KM IN F… https://t.co/ddev8gQqXw	Feb 03 2020
Thomas Jenkins Made It to 2020	"@Sigspace ""Escape the ACFT: Join the Navy!"" https://t.co/54iWXNiLTp"	Feb 03 2020
Emotional Support Drill	Favorite song you listen to in the gym that you dont listen to anywhere else. And go. #gymmotivation #gym #ACFT	Feb 03 2020
IMISTHE”PATRIOT”BOWLBROS⭐️⭐️⭐️🇺🇸🙏	RT @mil_ops: Watching Cano AB Honduras this week and we have two acft that pop out. 1. Dyass AFB - troop rotation - same one we see at GTMO…	Feb 03 2020
Camp Santiago - Joint Training Center	Warriors conducting ACFT familiarization here in Camp Santiago Joint Training Center.  Warriors are more than welco… https://t.co/edrHCM7HwB	Feb 03 2020
“The Saint 77”	@CNNChile Tanto show, los que de  Aeronautica  no fue mas que un Procedimiento de Liberar peso de la ACFT y listo C… https://t.co/pP7vjQn3DV	Feb 03 2020
412TEC	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
USACAPOC (A)	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Richard Martinez	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
U.S. Army Reserve	"Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare:… https://t.co/0qHL51T9ha"	Feb 03 2020
މުޙައްމަދު އަޝުރަފު	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Justice	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
J.Faith	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Miguel Angel Rodriguez	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Rebecca Rodriguez	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
clockoff94	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Virtual Economy® Official Account📈	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
sebastian	@elmorron1 @JIAAC_AR fue una falla en el motor, yo estaba de turno en la TWR DIA y fue una falla en el motro, graci… https://t.co/rpCLh1VWNv	Feb 03 2020
Cody Granrud	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
yscbatis	INFO B. TMP: 12. WIND: 160/10 KTS. CLD: NSC. QNH: 1021. EXP INSTRUMENT APCH. RWY 17. START UP APPROVAL RQ FOR ALL T… https://t.co/I4VUFMYAgl	Feb 03 2020
Allen	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Patriotsfight3🇺🇸⭐⭐⭐	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Jared Hornsby	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
BrianPismo	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
Ivana Guzman	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
JOSHUA 🇺🇸	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Alex, 1st of his Name, Father of Daughters 🇺🇸	@TulsiGabbard @HOPE4NH Have you started training for the new ACFT yet?	Feb 03 2020
Mr. Love4Allhumans	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
GMlog via GeigerNT	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
SDDC CSM	The ACFT app rolls out to help Soldiers get fit, protect their data https://t.co/zmXQbEsQNy @hqSDDC @ArmyMateriel… https://t.co/JppTmTiTGM	Feb 03 2020
Tracey ⭐️⭐️⭐️ KEEP AMERICA GREAT!🇺🇸	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Modern War Institute	Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1QZar	Feb 03 2020
yscbatis	INFO C. EXP INSTRUMENT APCH RWY 17. RWY 17 &amp; RWY 12 FOR ARRS &amp; DEPS. TMP: 15. WIND: 150/12 KTS. START UP APPROVAL R… https://t.co/Tj9ZRCodBA	Feb 03 2020
Josh Green	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1QZar	Feb 03 2020
Txema Món	RT @WarInstitute: Who says you can't—or shouldn't—do PT in the field? https://t.co/sEnNK1QZar	Feb 03 2020
linds	RT @SchmidCathrine: JLo is 50 years old and climbed that pole like it was nothing and I’m over here worried about ONE leg tuck for the ACFT	Feb 03 2020
HENRY	RT @16thSma: My conversation with @15thSMA on the Soldier Today podcast is out this morning. We discuss NCO leadership, Quality of Life ini…	Feb 03 2020
Turner	@TheTrueJFK I’ve taken 6 total pt tests (4 apft’s, 2 acft’s) on deployment so far 😅	Feb 03 2020
絆 ALL JAPAN 🇯🇵 日本一心	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Fort Irwin NTC	"RT @USArmyReserve: Are You Combat-Ready?

The #ACFT aims to enhance readiness across the force.

Learn how you can prepare: https://t.co/sC…"	Feb 03 2020
Jason Seger	Had the chance to walk through the ACFT this weekend and I have my work cut out for me. Time to give my workout a t… https://t.co/zggW0gH0Ol	Feb 03 2020
Suitable Soldier aka Circular Jack Goo-Goo Knox	@9toed_Viking Check https://t.co/9FVRGuBoCT. Good all around program, but you might want to add in a bit more cardi… https://t.co/IvdZ1ca4oM	Feb 03 2020
