name	rawTweet	date
YMML ATIS	INFO U. TMP: 20. EXP GLS OR ILS APCH. RWY 27 FOR ARR, RWY 34 FOR DEPS N E, RWY 27 FOR ALL OTHER DEPS. RAPID EXIT TA… https://t.co/jR4zFFK9QT	Feb 02 2020
lapouce	@LakshmanPST @sarabpal_singh @ReviewVayu What happens to hydraulics, electricals, wiring, engines, fuel systems? Wh… https://t.co/SBnJNw8IKT	Feb 02 2020
Kally:)	acft grading scale has me in my feelings	Feb 02 2020
YPAD ATIS	INFO M. TMP: 22. CLD: SCT038. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST. RWY 23. VIS: GREATER THAN 10 KM. WND: 220/15. QNH: 1016.	Feb 02 2020
The Terminally Illest	Damn the claws come out real easy on the women’s ACFT training group page lol	Feb 02 2020
RHLI	The Army has a Physical Fitness Problem, Part 2: Toward a More Combat-Ready Force - Modern War Institute… https://t.co/qexmSmAbb2	Feb 02 2020
YPAD ATIS	INFO N. TMP: 21. WND: 230/12. CLD: SCT030 SCT050. ACFT FROM THE EAST &amp; JET ACFT FROM THE WEST EXP INST. RWY 23. VIS… https://t.co/SNNM7PLJcN	Feb 02 2020
25 News KXXV	US Army rolls out new fitness test – the ACFT https://t.co/oAjk5JB68Z https://t.co/xGRzdky1yj	Feb 02 2020
Mark Welsh	"RT @USArmy: Pop the top and let's go!

@FortBenning #Soldiers recently received their Army Combat Fitness Test gear.

Learn more about @USA…"	Feb 02 2020
Mark Welsh	RT @USArmy: Senior leaders have approved a modification of the ACFT that includes three aerobic test events for selected #Soldiers with per…	Feb 02 2020
Mark Welsh	"RT @USArmy: How far can you throw a 10-pound medicine ball?

The standing power throw tests how far a #Soldier can throw a 10-pound medicin…"	Feb 02 2020
yscbatis	INFO E. WX: SH IN AREA. JET ACFT EXP ILS APCH. RWY 35 &amp; RWY 30 FOR ARRS &amp; DEPS. SIGWX: EXP TURB OVER RWY 35, S OF R… https://t.co/QXy9T9Lc59	Feb 02 2020
